,type_ids,parent_id,scientific_name,en_name,en_wikipedia_url
1827,2680,163.0,Tilia x moltkei,Von Moltke linden,
1828,2681,163.0,Tilia x petiolaris,Pendant silver linden,
1829,2682,2645.0,Ulmus 'Plantyn',Plantyn elm,https://en.wikipedia.org/wiki/Ulmus_%27Plantyn%27
1830,2683,2645.0,Ulmus 'Lobel',Lobel elm,https://en.wikipedia.org/wiki/Ulmus_%27Lobel%27
1831,2684,2645.0,Ulmus 'New Horizon',New Horizon elm,https://en.wikipedia.org/wiki/Ulmus_%27New_Horizon%27
1832,2699,,Wodyetia bifurcata,Foxtail palm,https://en.wikipedia.org/wiki/Foxtail_palm
1833,2710,,,Toothache tree,https://en.wikipedia.org/wiki/Toothache_tree
1834,2711,2523.0,Rubus armeniacus,Himalayan blackberry,https://en.wikipedia.org/wiki/Rubus_armeniacus
1835,2730,205.0,Matricaria chamomilla,German chamomile,https://en.wikipedia.org/wiki/Matricaria_chamomilla
1836,2739,2067.0,Annona x atemoya,Atemoya,https://en.wikipedia.org/wiki/Atemoya
1837,2750,,Pastinaca sativa,Parsnip,https://en.wikipedia.org/wiki/Parsnip
1838,2757,3228.0,Bivalvia,Mussel,https://en.wikipedia.org/wiki/Mussel
1839,2758,1422.0,Cardiidae,Cockle,https://en.wikipedia.org/wiki/Cockle_(bivalve)
1840,2759,3228.0,Bivalvia,Oyster,https://en.wikipedia.org/wiki/Oyster
1841,2760,,Pectinidae,Scallop,https://en.wikipedia.org/wiki/Scallop
1842,2761,,Decapoda,Shrimp,https://en.wikipedia.org/wiki/Shrimp
1843,2762,,Haliotis,Abalone,https://en.wikipedia.org/wiki/Haliotis
1844,2764,,Melissa,Melissa,https://en.wikipedia.org/wiki/Melissa_(plant)
1845,2772,,Ranunculus,Buttercup,https://en.wikipedia.org/wiki/Ranunculus
1846,2773,,Quararibea cordata,South American sapote,https://en.wikipedia.org/wiki/Quararibea_cordata
1847,2776,,Manilkara huberi,Masaranduba,https://en.wikipedia.org/wiki/Manilkara_huberi
1848,2777,55.0,Capsicum frutescens,Chili pepper,https://en.wikipedia.org/wiki/Capsicum_frutescens
1849,2785,,Passiflora caerulea,Blue passionflower,https://en.wikipedia.org/wiki/Passiflora_caerulea
1850,2786,,Bombax ceiba,Red cotton tree,https://en.wikipedia.org/wiki/Bombax_ceiba
1851,2788,,Mammea americana,Mamey apple,https://en.wikipedia.org/wiki/Mammea_americana
1852,2789,,Melicoccus,Melicoccus,https://fr.wikipedia.org/wiki/Melicoccus
1853,2797,,Melia azedarach,Chinaberry tree,https://en.wikipedia.org/wiki/Melia_azedarach
1854,2812,,Vernonia gigantea,Giant ironweed,https://en.wikipedia.org/wiki/Vernonia_gigantea
1855,2815,,Lysimachia nummularia,Moneywort,https://en.wikipedia.org/wiki/Lysimachia_nummularia
1856,2816,609.0,Elaeagnus multiflora,Cherry elaeagnus,https://en.wikipedia.org/wiki/Elaeagnus_multiflora
1857,2829,,Apios americana,Hopniss,https://en.wikipedia.org/wiki/Apios_americana
1858,2830,,Asarum,Wild ginger,https://en.wikipedia.org/wiki/Asarum
1859,2964,,Lysimachia quadrifolia,Whorled loosestrife,https://en.wikipedia.org/wiki/Lysimachia_quadrifolia
1860,2966,1102.0,Podocarpus elatus,Plum pine,https://en.wikipedia.org/wiki/Podocarpus_elatus
1861,2975,,Poliomintha longiflora,Mexican oregano,
1862,2976,,Ananas,Pineapple,https://en.wikipedia.org/wiki/Ananas
1863,2977,2978.0,Malpighia glabra,Acerola,https://en.wikipedia.org/wiki/Malpighia_glabra
1864,2978,,Malpighia,Malpighia,https://en.wikipedia.org/wiki/Malpighia
1865,2979,,Terminalia catappa,Country-almond,https://en.wikipedia.org/wiki/Terminalia_catappa
1866,2980,,Pterogyne nitens,Amendoim-bravo,https://en.wikipedia.org/wiki/Pterogyne
1867,2981,76.0,Psidium myrtoides,Purple guava,
1868,2982,576.0,Araucaria angustifolia,Paraná pine,https://en.wikipedia.org/wiki/Araucaria_angustifolia
1869,2983,,Dypsis lutescens,Bamboo palm,https://en.wikipedia.org/wiki/Dypsis_lutescens
1870,2984,3056.0,Schefflera actinophylla,Queensland umbrella tree,https://en.wikipedia.org/wiki/Schefflera_actinophylla
1871,2985,1982.0,Musa acuminata,Red banana,https://en.wikipedia.org/wiki/Red_banana
1872,2986,,Coffea,Coffee,https://en.wikipedia.org/wiki/Coffea
1873,2987,,Cordia superba,Superb cordia,
1874,2989,,Rudbeckia hirta,Black-eyed-Susan,https://en.wikipedia.org/wiki/Rudbeckia_hirta
1875,2991,,Myrciaria glazioviana,Cabeludinha,
1876,2992,,Caesalpinia echinata,Brazilwood,https://en.wikipedia.org/wiki/Caesalpinia_echinata
1877,2993,,Libidibia ferrea,Brazilian ironwood,https://en.wikipedia.org/wiki/Libidibia_ferrea
1878,2994,736.0,Spondias dulcis,Ambarella,https://en.wikipedia.org/wiki/Spondias_dulcis
1879,2995,,Campomanesia phaea,Cambuci,https://en.wikipedia.org/wiki/Campomanesia_phaea
1880,2996,,Cassia fistula,Golden rain tree,https://en.wikipedia.org/wiki/Cassia_fistula
1881,2997,,Nectandra,Sweetwood,https://en.wikipedia.org/wiki/Nectandra
1882,2998,,Rosa gymnocarpa,Dwarf rose,https://en.wikipedia.org/wiki/Rosa_gymnocarpa
1883,2999,2547.0,Vaccinium scoparium,Grouse whortleberry,https://en.wikipedia.org/wiki/Vaccinium_scoparium
1884,3001,,Cephalanthus occidentalis,Common buttonbush,https://en.wikipedia.org/wiki/Cephalanthus_occidentalis
1885,3003,,Linum lewisii,Western blue flax,https://en.wikipedia.org/wiki/Linum_lewisii
1886,3004,,Digitaria,Crabgrass,https://en.wikipedia.org/wiki/Digitaria
1887,3008,1841.0,Populus,Aspen,https://en.wikipedia.org/wiki/Aspen
1888,3012,,Cedrela fissilis,Argentine cedar,https://en.wikipedia.org/wiki/Cedrela_fissilis
1889,3013,,Physocalymma scaberrimum,Brazilian rose wood,
1890,3014,1114.0,Eugenia involucrata,Cherry of the Rio Grande,https://en.wikipedia.org/wiki/Eugenia_involucrata
1891,3015,285.0,Prunus campanulata,Taiwan cherry,https://en.wikipedia.org/wiki/Prunus_campanulata
1892,3016,,Erythrina crista-galli,Cockspur coral tree,https://en.wikipedia.org/wiki/Erythrina_crista-galli
1893,3017,,Cecropia,Cecropia,https://en.wikipedia.org/wiki/Cecropia
1894,3018,,Ocotea porosa,Brazilian walnut,https://en.wikipedia.org/wiki/Ocotea_porosa
1895,3019,,Delonix regia,Royal poinciana,https://en.wikipedia.org/wiki/Delonix_regia
1896,3020,1114.0,Eugenia brasiliensis,Brazil cherry,https://en.wikipedia.org/wiki/Eugenia_brasiliensis
1897,3021,,Casearia sylvestris,Wild coffee,https://en.wikipedia.org/wiki/Casearia_sylvestris
1898,3022,,Patagonula americana,Guajuvira,
1899,3023,,Schizolobium parahyba,Brazilian firetree,https://en.wikipedia.org/wiki/Schizolobium_parahyba
1900,3024,,Pisum sativum,Garden pea,https://en.wikipedia.org/wiki/Pea
